game_id,game_week,opponent,quarter,time,clock_minutes,clock_seconds,drive_number,drive_id,play_number,play_id,down_distance,yards_to_goal,yard_line_cfbd,yard_line_display,score_minnesota,score_opponent,is_go_for_it,play_type,play_result,yards_gained,yards_gained_cfbd,converted,scoring,scoring_play,play_text,play_text_cfbd,home_team,away_team,ppa,date,defense,is_timeout,offense,play_type_cfbd,week,yard_line
401752793,1,Buffalo,1,9:57,9,57,2,4017527932,6,401752793101904201,4 & 7,46,54,+46,0,0,FALSE,punt,Punt,0,0,,FALSE,FALSE,Tom Weston punt for 45 yds,Tom Weston punt for 45 yds,Minnesota,Buffalo,,,Buffalo,FALSE,Minnesota,Punt,1,0
401752793,1,Buffalo,1,4:49,4,49,4,4017527934,8,401752793101955001,4 & 1,11,89,+11,0,0,TRUE,rush,Failed,0,0,FALSE,FALSE,FALSE,Jameson Geers run for no gain to the BUF 11,Jameson Geers run for no gain to the BUF 11,Minnesota,Buffalo,-4.0020765600183985,,Buffalo,FALSE,Minnesota,Rush,1,0
401752793,1,Buffalo,2,6:05,6,5,10,40175279310,7,401752793102939401,4 & 17,71,29,-29,7,3,FALSE,punt,Punt,0,0,,FALSE,FALSE,"Tom Weston punt for 50 yds , Victor Snow returns for no gain to the BUF 21","Tom Weston punt for 50 yds , Victor Snow returns for no gain to the BUF 21",Minnesota,Buffalo,,,Buffalo,FALSE,Minnesota,Punt,1,0
401752793,1,Buffalo,3,11:39,11,39,13,40175279313,11,401752793103886001,4 & 7,11,89,+11,13,3,TRUE,field goal good,Field Goal,29,29,TRUE,TRUE,FALSE,Brady Denaburg 29 yd FG GOOD,Brady Denaburg 29 yd FG GOOD,Minnesota,Buffalo,,,Buffalo,FALSE,Minnesota,Field Goal Good,1,0
401752793,1,Buffalo,3,4:32,4,32,15,40175279315,7,401752793103956701,4 & 5,48,52,+48,13,10,FALSE,punt,Punt,0,0,,FALSE,FALSE,"Tom Weston punt for 35 yds, fair catch by Victor Snow at the BUF 13","Tom Weston punt for 35 yds, fair catch by Victor Snow at the BUF 13",Minnesota,Buffalo,,,Buffalo,FALSE,Minnesota,Punt,1,0
401752793,1,Buffalo,4,11:31,11,31,17,40175279317,12,401752793104886801,4 & 5,7,93,+7,16,10,TRUE,field goal good,Field Goal,25,25,TRUE,TRUE,FALSE,Brady Denaburg 25 yd FG GOOD,Brady Denaburg 25 yd FG GOOD,Minnesota,Buffalo,,,Buffalo,FALSE,Minnesota,Field Goal Good,1,0
401752793,1,Buffalo,4,0:25,0,25,21,40175279321,20,401752793104997401,4 & 1,18,82,+18,23,10,FALSE,timeout,Timeout,0,0,,FALSE,FALSE,"Timeout Minnesota, clock 00:25","Timeout Minnesota, clock 00:25",Minnesota,Buffalo,,,Buffalo,TRUE,Minnesota,Timeout,1,0
401752793,1,Buffalo,4,0:00,0,0,21,40175279321,21,401752793104999901,4 & 1,18,82,+18,23,10,TRUE,rush,Conversion,3,3,TRUE,FALSE,FALSE,Darius Taylor run for 3 yds to the BUF 15 for a 1ST down,Darius Taylor run for 3 yds to the BUF 15 for a 1ST down,Minnesota,Buffalo,0.699648250677718,,Buffalo,FALSE,Minnesota,Rush,1,0
401752813,2,Northwestern State,1,6:36,6,36,5,4017528135,5,401752813101936301,4 & 1,19,81,+19,14,0,TRUE,rush,Conversion,2,2,TRUE,FALSE,FALSE,Drake Lindsey run for 2 yds to the NWST 17 for a 1ST down,Drake Lindsey run for 2 yds to the NWST 17 for a 1ST down,Minnesota,Northwestern State,0.7252201059935462,,Northwestern State,FALSE,Minnesota,Rush,2,0
401752813,2,Northwestern State,2,2:38,2,38,16,40175281316,4,401752813102976101,4 & 9,9,91,+9,59,0,TRUE,field goal good,Field Goal,27,27,TRUE,TRUE,FALSE,Brady Denaburg 27 yd FG GOOD,Brady Denaburg 27 yd FG GOOD,Minnesota,Northwestern State,,,Northwestern State,FALSE,Minnesota,Field Goal Good,2,0
